CHROMOSOME	INTERVAL	NUM_HITS	MUTATION_RATE
6	[16265674, 16266233]	5	0.008928571428571428
6	[16270407, 16270966]	1	0.0017857142857142857
6	[13846994, 13847487]	1	0.0020242914979757085
6	[39193382, 39193791]	5	0.012195121951219513
6	[167654984, 167656321]	4	0.0029895366218236174
6	[146349325, 146349734]	2	0.004878048780487805
6	[16267842, 16268381]	1	0.001851851851851852
6	[106576983, 106577202]	4	0.01818181818181818
6	[158973481, 158973896]	1	0.002403846153846154
6	[14464194, 14464707]	3	0.005836575875486381
6	[108438898, 108439281]	1	0.0026041666666666665
6	[150401755, 150402210]	1	0.0021929824561403508
18	[46449020, 46449737]	3	0.004178272980501393
18	[34152219, 34152548]	2	0.006060606060606061
18	[56435671, 56436019]	2	0.0057306590257879654
2	[47210315, 47211227]	4	0.004381161007667032
2	[113469944, 113471431]	9	0.006048387096774193
2	[65662681, 65664435]	15	0.008547008547008548
2	[127507227, 127507506]	4	0.014285714285714285
2	[148967254, 148967497]	2	0.00819672131147541
2	[79206796, 79207072]	3	0.010830324909747292
2	[102844002, 102844727]	3	0.004132231404958678
2	[202113304, 202113451]	2	0.013513513513513514
2	[112074538, 112074880]	1	0.0029154518950437317
2	[106013187, 106014180]	7	0.007042253521126761
2	[55394480, 55394903]	1	0.0023584905660377358
2	[10410566, 10411089]	2	0.003816793893129771
2	[106257797, 106258339]	2	0.003683241252302026
2	[242167360, 242167898]	3	0.0055658627087198514
2	[231714691, 231715163]	2	0.004228329809725159
2	[240215682, 240216238]	2	0.003590664272890485
21	[43377127, 43377958]	2	0.002403846153846154
21	[38905466, 38905914]	3	0.0066815144766146995
21	[36173893, 36174081]	1	0.005291005291005291
21	[46808427, 46809183]	6	0.007926023778071334
21	[46978094, 46978427]	3	0.008982035928143712
17	[73429353, 73429666]	1	0.0031847133757961785
17	[6926776, 6928075]	4	0.003076923076923077
17	[42365646, 42366265]	4	0.0064516129032258064
17	[48334286, 48335011]	4	0.005509641873278237
17	[42343758, 42344532]	2	0.0025806451612903226
17	[7216489, 7217506]	3	0.0029469548133595285
17	[42357010, 42357632]	1	0.0016051364365971107
17	[40679248, 40679634]	1	0.002583979328165375
3	[39243640, 39243893]	3	0.011811023622047244
3	[14246208, 14246758]	2	0.003629764065335753
3	[140617268, 140617424]	2	0.012738853503184714
3	[152769756, 152770172]	4	0.009592326139088728
3	[72509831, 72510400]	3	0.005263157894736842
3	[72314503, 72314888]	1	0.0025906735751295338
3	[138698476, 138699075]	3	0.005
3	[40424124, 40424562]	4	0.009111617312072893
3	[196064109, 196064925]	4	0.004895960832313341
3	[138136343, 138136817]	2	0.004210526315789474
3	[44278026, 44278409]	1	0.0026041666666666665
3	[44480928, 44481750]	2	0.002430133657351154
3	[13184822, 13185348]	2	0.003795066413662239
3	[151569819, 151570268]	3	0.006666666666666667
3	[142677652, 142677918]	2	0.00749063670411985
3	[159724352, 159724668]	1	0.0031545741324921135
3	[14849864, 14849974]	1	0.009009009009009009
12	[111834649, 111835406]	8	0.010554089709762533
12	[53721793, 53722155]	1	0.0027548209366391185
12	[122116669, 122117013]	4	0.011594202898550725
12	[113502921, 113503495]	4	0.006956521739130435
12	[122675377, 122675985]	3	0.0049261083743842365
12	[132403166, 132403556]	1	0.0025575447570332483
12	[106529895, 106530364]	5	0.010638297872340425
12	[551470, 551754]	1	0.0035087719298245615
15	[101547059, 101549438]	9	0.003781512605042017
15	[41787392, 41788809]	2	0.0014104372355430183
15	[22443657, 22444120]	11	0.023706896551724137
15	[51330872, 51331232]	1	0.002770083102493075
15	[86029302, 86029513]	1	0.0047169811320754715
15	[102017867, 102018764]	2	0.0022271714922048997
16	[33569165, 33569857]	23	0.03318903318903319
16	[31414938, 31416249]	6	0.004573170731707317
16	[30198273, 30199021]	4	0.0053404539385847796
16	[87615374, 87616409]	2	0.0019305019305019305
16	[4944413, 4945515]	4	0.003626473254759746
16	[1143981, 1144356]	2	0.005319148936170213
16	[85089891, 85090152]	1	0.003816793893129771
16	[85469881, 85471337]	6	0.004118050789293068
16	[58530065, 58530651]	3	0.005110732538330494
16	[29887403, 29888339]	5	0.005336179295624333
16	[3854467, 3854747]	1	0.0035587188612099642
16	[81491271, 81491826]	1	0.0017985611510791368
16	[87608594, 87609072]	1	0.0020876826722338203
16	[74343748, 74344124]	1	0.002652519893899204
5	[95178595, 95179289]	4	0.0057553956834532375
5	[7475056, 7475331]	4	0.014492753623188406
5	[5025868, 5026304]	7	0.016018306636155607
5	[141566389, 141566925]	3	0.00558659217877095
5	[79153956, 79154298]	6	0.01749271137026239
5	[134801447, 134802279]	8	0.009603841536614645
5	[1892951, 1893172]	2	0.009009009009009009
5	[171720521, 171720801]	2	0.0071174377224199285
5	[78642313, 78642713]	2	0.004987531172069825
5	[63908214, 63908511]	2	0.006711409395973154
5	[675868, 676936]	5	0.004677268475210477
5	[1106823, 1107257]	1	0.0022988505747126436
5	[172083614, 172083867]	2	0.007874015748031496
5	[137794051, 137794217]	1	0.005988023952095809
X	[134304561, 134305673]	15	0.013477088948787063
X	[152955031, 152955544]	2	0.0038910505836575876
X	[129130030, 129130384]	2	0.005633802816901409
X	[153780477, 153781147]	2	0.0029806259314456036
X	[134572340, 134572711]	2	0.005376344086021506
X	[118832789, 118833168]	1	0.002631578947368421
X	[79834104, 79834278]	1	0.005714285714285714
11	[124616282, 124617367]	20	0.01841620626151013
11	[33933860, 33934701]	2	0.0023752969121140144
11	[73700309, 73700505]	3	0.015228426395939087
11	[112150608, 112151680]	8	0.007455731593662628
11	[762433, 763682]	4	0.0032
11	[61299476, 61300119]	2	0.003105590062111801
11	[44815333, 44815597]	2	0.007547169811320755
11	[117882855, 117883372]	2	0.003861003861003861
11	[34748795, 34749078]	1	0.0035211267605633804
10	[44779756, 44779889]	1	0.007462686567164179
10	[64917805, 64918309]	3	0.005940594059405941
10	[104687436, 104687753]	1	0.0031446540880503146
10	[73508306, 73508952]	6	0.00927357032457496
10	[13394538, 13394873]	2	0.005952380952380952
10	[61468648, 61468855]	4	0.019230769230769232
10	[72833752, 72834283]	3	0.005639097744360902
10	[13748777, 13749912]	9	0.007922535211267605
10	[72498256, 72498863]	3	0.004934210526315789
10	[73507617, 73508172]	5	0.008992805755395683
10	[94515960, 94516641]	3	0.004398826979472141
10	[4861961, 4862184]	1	0.004464285714285714
10	[22933184, 22933344]	1	0.006211180124223602
9	[135859463, 135860769]	13	0.009946442234123947
9	[137247722, 137249476]	3	0.0017094017094017094
9	[135879214, 135880165]	8	0.008403361344537815
9	[129466799, 129467314]	3	0.005813953488372093
9	[135878174, 135878710]	2	0.0037243947858473
9	[91418954, 91419370]	2	0.004796163069544364
9	[99819989, 99820291]	3	0.009900990099009901
9	[126597406, 126597847]	2	0.004524886877828055
9	[133928573, 133928883]	1	0.003215434083601286
9	[33922019, 33922341]	1	0.0030959752321981426
8	[125794987, 125795367]	3	0.007874015748031496
8	[143571067, 143571310]	4	0.01639344262295082
8	[140641307, 140641639]	3	0.009009009009009009
8	[142233247, 142234026]	8	0.010256410256410256
8	[103750795, 103751207]	1	0.002421307506053269
4	[9895083, 9895271]	3	0.015873015873015872
4	[1506403, 1506738]	1	0.002976190476190476
4	[84014266, 84014558]	1	0.0034129692832764505
4	[87938768, 87939095]	1	0.003048780487804878
22	[30112694, 30113104]	2	0.004866180048661801
22	[23501676, 23501975]	1	0.0033333333333333335
22	[37562500, 37563030]	1	0.0018832391713747645
13	[114048126, 114048734]	1	0.0016420361247947454
